"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"2.9053",0.010491,-0.020844,-0.040251,0.041957,-0.062311,-0.093324,0.077338,0.081034,-0.097508,0.080899,0.12572,0.080434,0.051091,-0.078762,-0.13288,-0.001995,0.037209,-0.055476,-0.12036,0.037167,-0.10742,0.211,0.016823,-0.25225,-0.030105,0.077528,-0.11473,-0.036335,-0.14493,-0.013703,0.044971,-0.013729,-0.057269,0.012554,0.069098,0.16424,-0.13989,-0.02284,0.15791,0.2487,0.055792,-0.013936,0.021131,0.093462,0.12819,0.13911,0.13153,0.088701,-0.20979,-0.030863
"2.93095",0.013945,0.11689,-0.12243,-0.031043,-0.16081,-0.024263,0.23845,0.096144,0.057188,-0.027447,-0.031695,-0.00060062,-0.16098,-0.050351,0.19406,-0.037755,0.20505,0.028246,0.019723,0.01598,-0.042031,-0.21102,0.25265,-0.014205,0.032679,0.029373,-0.14854,-0.20315,0.057977,0.026844,0.12832,0.016187,-0.071658,-0.25002,0.081756,-0.091036,-0.032119,0.15768,-0.15509,-0.23474,-0.060163,0.009989,0.08099,-0.082745,-0.09574,-0.23075,-0.21301,0.003537,-0.11345,0.019152
"3.0195",-0.0057161,0.025878,0.013256,0.040378,-0.013027,-0.01779,-0.069947,-0.02981,-0.031545,-0.084524,-0.11181,0.027212,0.094678,-0.22255,0.058263,0.037881,-0.0036753,-0.16539,0.072771,0.020114,0.12527,-0.024848,-0.13686,0.11689,-0.01921,0.037353,-0.19454,-0.068479,0.2807,0.075521,-0.015926,-0.043008,-0.0086267,0.02663,-0.075825,0.035469,-0.19963,-0.029916,-0.11226,-0.041829,0.10809,0.08215,0.050638,-0.0062116,-0.054658,-0.077102,0.24082,0.14081,-0.17769,-0.0072622
"3.0477",-0.042494,-0.029232,-0.13459,0.11713,-0.00047249,-0.08283,-0.010011,0.098986,0.012934,0.03469,0.014849,0.066416,-0.023831,-0.11569,-0.029122,0.072826,-0.010933,0.013675,0.065893,0.042917,-0.057659,-0.097695,-0.014607,-0.050536,-0.0026292,0.060681,0.089329,0.0096953,0.028734,-0.043855,0.0098703,0.094756,-0.025675,-0.084347,0.0086563,-0.028445,0.043153,0.12248,0.028099,0.11095,-0.13161,0.034183,0.088328,-0.10526,-0.078104,-0.043903,-0.087476,0.044613,0.10814,-0.058237
"3.1338",-0.064161,0.1533,-0.017085,0.15067,-0.11989,-0.070238,-0.058995,0.056816,-0.15374,0.26158,-0.15726,0.063453,0.095864,0.13029,0.20888,-0.24651,0.19263,-0.0063314,-0.13051,-0.060181,-0.11491,0.22689,-0.18561,-0.17641,0.0041071,0.012533,-0.063256,0.0041233,-0.032937,0.10705,0.18836,-0.08357,0.099877,-0.0091613,0.022394,-0.30527,-0.014843,0.10258,0.008259,-0.17092,-0.020972,0.132,-0.0351,-0.062329,-0.01076,0.10147,0.05953,-0.060647,0.040507,0.02699
"3.1607",-0.018918,0.10316,-0.1264,0.16003,-0.063879,-0.0021053,-0.049201,0.074921,-0.10951,0.096807,-0.21525,-0.11026,-0.002162,-0.08445,-0.19843,-0.14422,-0.16685,-0.10079,-0.20737,-0.1763,0.17908,-0.15605,0.071879,0.0058881,0.16909,-0.062885,-0.050582,0.25089,0.16561,-0.097168,-0.15893,0.089712,-0.066659,0.081172,0.037319,-0.053784,0.064894,-0.049938,0.10841,-0.10069,0.021271,0.031934,0.01071,0.10019,0.087326,0.02819,-0.12969,0.10377,-0.024818,0.037307
"3.1967",0.037508,0.027984,-0.030064,0.016565,-0.04543,-0.0060812,0.059114,0.049234,0.025265,-0.037177,-0.092875,0.083571,0.0053546,0.095084,0.036409,-0.085958,-0.10917,0.086791,0.10811,-0.181,0.024955,-0.048736,0.015414,-0.088194,-0.072105,0.084203,-0.043366,-0.027801,0.12305,-0.26109,0.0094322,0.040964,-0.1732,0.055713,-0.03575,0.069737,-0.082433,0.11754,-0.15236,0.088285,-0.072564,0.05432,-0.060821,-0.187,0.12367,0.12262,0.16898,-0.043803,-0.029662,0.0044008
"3.2292",0.099772,-0.029361,0.020319,-0.03088,-0.052938,-0.16876,0.0061165,-0.0195,0.096438,0.039772,0.11429,0.25533,-0.036788,-0.011565,-0.045343,-0.02178,-0.1058,-0.19105,0.099586,-0.054386,0.15237,0.13244,0.12919,-0.12646,-0.025443,-0.073759,0.12518,0.080523,-0.15663,-0.031081,-0.13529,0.10796,0.089909,-0.019491,-0.013762,-0.13812,-0.24851,0.031637,-0.10165,-0.082696,0.15214,-0.10129,-0.013072,0.057484,0.0052,0.048932,-0.11886,0.043901,0.18501,-0.06161
"3.25475",0.061397,0.010511,0.13305,-0.12034,-0.031809,0.047093,0.029556,-0.11866,0.028341,-0.043184,-0.026566,-0.033446,0.0053999,0.1414,0.023641,-0.034738,0.071149,-0.014494,-0.059793,0.013267,0.032029,0.059844,0.047657,0.059773,-0.020114,-0.12237,-0.059973,-0.073394,0.036822,0.102,0.13392,-0.032626,0.028183,-0.014948,0.14444,0.033082,0.022617,-0.028181,-0.063899,0.0036863,0.16698,-0.0019136,0.040044,-0.028487,-0.083847,0.046916,0.064742,-0.0078475,-0.09647,0.05749
"3.3021",0.073956,0.097353,-0.17979,0.072651,-0.072862,0.17481,0.1631,0.13415,0.025124,-0.24028,0.031429,-0.083149,0.086771,0.15175,-0.10586,-0.014949,-0.086544,-0.029628,0.13498,-0.053435,-0.074218,-0.077428,0.0076197,-0.10633,-0.051484,0.17116,-0.048512,0.11333,-0.15069,-0.1095,-0.034479,-0.0085796,0.13082,-0.05691,0.24183,-0.018903,-0.13266,-0.037711,0.10169,0.056651,0.16092,0.096262,-0.15906,0.044205,-0.066958,-0.19666,0.083,-0.043363,0.043799,-0.069839
